date	actual_mean_temp	actual_min_temp	actual_max_temp	average_min_temp	average_max_temp	record_min_temp	record_max_temp	record_min_temp_year	record_max_temp_year	actual_precipitation	average_precipitation	record_precipitation
01-07-2014	70	63	77	63	82	52	107	1886	1985	0	0	0.09
02-07-2014	70	62	77	63	82	51	102	1887	1985	0	0	0
03-07-2014	72	63	81	63	82	52	100	1902	1985	0	0	0
04-07-2014	72	62	82	63	82	53	103	1900	1907	0	0	0.07
05-07-2014	75	64	86	63	82	50	100	1886	1907	0	0	0.02
06-07-2014	73	64	81	63	82	51	94	1894	1992	0	0	0.03
07-07-2014	77	64	89	63	83	51	96	1894	1954	0	0	0.02
08-07-2014	77	68	86	63	83	51	95	1894	1886	0	0	0.13
09-07-2014	75	67	82	63	83	52	100	1901	1985	0	0	0.05
10-07-2014	76	66	85	63	83	55	103	1903	1959	0	0	0
11-07-2014	73	65	80	64	83	52	97	1878	1959	0	0	0.04
12-07-2014	74	65	82	64	83	49	98	1888	1953	0	0	0.05
13-07-2014	75	67	82	64	83	51	98	1888	1990	0	0	0.02
14-07-2014	74	68	80	64	83	52	98	1908	1984	0	0	0.24
15-07-2014	76	69	82	64	83	50	98	1893	1886	0	0	0
16-07-2014	74	66	81	64	83	52	96	1894	1930	0	0.01	0.02
17-07-2014	73	65	80	64	83	52	98	1894	1998	0	0	0.01
18-07-2014	72	64	79	64	84	53	97	1884	1936	0	0	0.36
19-07-2014	71	66	75	64	84	52	97	1884	1960	0	0	0.02
20-07-2014	73	66	80	64	84	52	100	1892	1960	0	0	0
21-07-2014	74	66	81	64	84	53	96	1903	1960	0	0	0
22-07-2014	75	65	85	64	84	52	101	1880	2006	0	0	0.1
23-07-2014	77	65	88	64	84	53	97	1903	1890	0	0	0.08
24-07-2014	79	65	92	64	84	52	103	1882	1891	0	0	0
25-07-2014	79	69	88	64	84	52	109	1903	1891	0	0	0.04
26-07-2014	77	68	86	64	84	52	100	1886	1891	0	0	0.04
27-07-2014	76	67	84	64	84	52	102	1903	1972	0	0	0
28-07-2014	78	68	88	64	84	52	101	1883	1995	0	0	0.01
29-07-2014	78	68	88	64	84	53	100	1909	1995	0	0	0
30-07-2014	79	68	90	64	84	54	100	1894	1980	0	0	0.02
31-07-2014	77	67	87	64	84	52	100	1885	1972	0	0	0.01
01-08-2014	76	66	85	64	84	54	99	1888	1959	0	0	0.01
02-08-2014	78	65	90	64	84	51	98	1888	1997	0.02	0	0.02
03-08-2014	79	72	85	64	84	52	100	1913	1918	0.02	0	0.02
04-08-2014	76	65	87	64	84	52	94	1912	1971	0	0	0.05
05-08-2014	73	63	82	64	84	52	100	1887	1997	0	0	0.09
06-08-2014	70	63	77	64	84	50	105	1883	1983	0	0.01	0.02
07-08-2014	73	64	81	64	84	54	99	1894	1884	0	0	0.11
08-08-2014	74	65	82	64	84	54	100	1916	1881	0	0	0.02
09-08-2014	75	67	82	64	84	53	100	1889	1998	0	0	0.19
10-08-2014	76	66	85	64	84	54	99	1897	1882	0	0	0.04
11-08-2014	75	65	85	64	84	53	98	1894	1879	0	0	0.02
12-08-2014	75	66	84	64	84	52	104	1894	1994	0	0	0.32
13-08-2014	73	65	81	64	84	54	102	1892	1994	0	0	0.13
14-08-2014	74	65	83	64	84	54	97	1887	1885	0	0.01	0.01
15-08-2014	76	63	89	64	84	52	98	1894	1994	0	0	0.4
16-08-2014	78	66	90	64	84	52	98	1883	1890	0	0	0.19
17-08-2014	78	66	89	64	85	52	104	1887	1885	0	0	2.06
18-08-2014	76	65	86	64	85	52	102	1887	1885	0	0	0.44
19-08-2014	76	69	82	64	85	54	106	1916	1885	0	0	0.14
20-08-2014	76	67	84	64	85	51	97	1900	1986	0	0	0.03
21-08-2014	73	65	80	64	85	53	96	1899	1982	0	0	0
22-08-2014	74	66	81	64	85	52	102	1901	1972	0	0.01	0.04
23-08-2014	76	66	85	64	85	54	100	1905	1968	0	0	0
24-08-2014	75	67	83	64	85	53	96	1900	1931	0	0	0.05
25-08-2014	72	64	80	64	85	52	102	1909	1985	0	0	0.01
26-08-2014	75	65	84	64	85	53	98	1885	1981	0	0	0.1
27-08-2014	79	66	91	64	85	53	103	1902	1981	0	0	0.96
28-08-2014	80	68	91	64	85	52	99	1902	1995	0	0.01	0.1
29-08-2014	78	65	90	64	85	51	102	1901	1884	0	0	0.08
30-08-2014	77	65	89	64	85	49	101	1901	1998	0	0	0.21
31-08-2014	78	69	87	64	85	52	103	1895	1967	0	0	0.61
01-09-2014	78	70	85	64	85	49	110	1901	1955	0	0	0.41
02-09-2014	76	68	84	64	85	51	108	1881	1955	0	0	0.02
03-09-2014	75	67	83	64	85	51	103	1892	1988	0	0	0.05
04-09-2014	73	66	80	64	85	52	110	1892	1988	0	0.01	0.3
05-09-2014	75	66	83	64	85	50	105	1898	1984	0	0	0.32
06-09-2014	76	65	86	64	84	48	102	1898	1955	0	0	0.17
07-09-2014	80	68	92	64	84	50	103	1884	1949	0	0	0
08-09-2014	80	71	88	64	84	47	103	1901	1984	0.01	0	0.19
09-09-2014	80	68	91	64	84	48	102	1884	1956	0	0.01	0.01
10-09-2014	76	64	87	64	84	52	103	1893	1983	0	0	1.74
11-09-2014	78	67	89	64	84	48	101	1901	1983	0	0.01	0.33
12-09-2014	80	68	91	64	84	48	102	1884	1971	0	0.01	0.13
13-09-2014	82	69	94	64	84	48	106	1884	1971	0	0	0.07
14-09-2014	85	71	98	63	84	48	100	1898	2012	0	0.01	0.04
15-09-2014	84	73	94	63	83	49	103	1895	2012	0	0.01	0.03
16-09-2014	90	76	103	63	83	48	103	1884	1909	0	0.01	0.07
17-09-2014	84	72	96	63	83	46	108	1884	1913	0	0.01	0.42
18-09-2014	74	67	81	63	83	48	103	1884	1939	0	0.01	1.39
19-09-2014	75	67	82	63	83	49	104	1907	1939	0	0.01	0.27
20-09-2014	72	66	78	63	83	49	107	1900	1939	0	0.01	0.29
21-09-2014	72	65	79	63	82	47	108	1880	1885	0	0.01	0.15
22-09-2014	72	63	80	63	82	48	104	1895	1883	0	0.02	0.4
23-09-2014	74	63	84	62	82	44	104	1880	1978	0	0.01	0.28
24-09-2014	75	62	88	62	82	45	106	1880	1978	0	0.01	1.95
25-09-2014	76	67	85	62	82	48	107	1879	1978	0	0.01	3.96
26-09-2014	74	65	83	62	82	48	109	1893	1963	0	0.01	0.24
27-09-2014	70	63	77	62	81	46	113	1901	2010	0	0.02	0.68
28-09-2014	72	64	79	62	81	49	106	1901	1963	0	0.01	0.74
29-09-2014	70	61	78	62	81	44	102	1880	1999	0	0.01	0.49
30-09-2014	75	64	85	62	81	48	105	1886	1906	0	0.02	1.58
01-10-2014	73	64	82	61	81	49	100	1901	1991	0	0.01	0.74
02-10-2014	81	64	98	61	81	44	101	1884	1995	0	0.02	0.53
03-10-2014	83	67	98	61	80	44	108	1884	1987	0	0.02	0.37
04-10-2014	81	65	97	61	80	44	108	1884	1987	0	0.01	0.24
05-10-2014	80	65	95	61	80	46	101	1884	1971	0	0.02	1.15
06-10-2014	78	64	92	61	80	44	102	1881	1971	0	0.02	0.3
07-10-2014	79	64	93	60	80	43	98	1884	1971	0	0.02	0.17
08-10-2014	75	63	87	60	80	43	100	1881	1994	0	0.02	0.42
09-10-2014	74	67	80	60	79	46	102	1879	1988	0	0.01	0.44
10-10-2014	72	64	79	60	79	46	107	1890	1991	0	0.02	0.71
11-10-2014	73	64	81	60	79	42	100	1879	1971	0	0.02	0.34
12-10-2014	74	67	81	60	79	43	99	1886	1950	0	0.02	0.43
13-10-2014	74	65	82	59	79	42	104	1886	1950	0	0.02	1.09
14-10-2014	71	66	76	59	79	44	103	1881	1961	0	0.02	1.75
15-10-2014	71	63	78	59	79	43	102	1881	1961	0	0.01	0.27
16-10-2014	69	61	77	59	79	44	104	1881	1958	0	0.02	0.35
17-10-2014	69	62	76	59	78	44	102	1881	1958	0	0.03	1.72
18-10-2014	70	61	78	58	78	44	97	1881	1940	0	0.02	0.48
19-10-2014	70	62	77	58	78	43	99	1881	1940	0	0.02	0.79
20-10-2014	71	63	79	58	78	43	96	1886	1964	0	0.02	3.16
21-10-2014	71	64	78	58	78	45	100	1882	1929	0	0.02	0.53
22-10-2014	72	60	84	58	78	40	100	1892	1965	0	0.02	0.77
23-10-2014	73	60	85	57	78	41	98	1892	1965	0	0.03	1.87
24-10-2014	74	59	88	57	78	43	99	1886	1909	0	0.02	0.55
25-10-2014	71	61	80	57	77	43	96	1886	1983	0	0.03	1.04
26-10-2014	70	61	78	57	77	45	95	1897	1879	0	0.02	1.74
27-10-2014	70	62	77	57	77	41	99	1886	1890	0	0.03	1.37
28-10-2014	69	59	78	56	77	45	94	1903	1931	0	0.03	0.56
29-10-2014	72	59	85	56	77	43	94	1878	1931	0	0.03	0.84
30-10-2014	71	60	81	56	77	41	99	1971	1939	0	0.03	1.02
31-10-2014	66	60	71	56	76	42	96	1886	1918	0.25	0.03	1.64
01-11-2014	61	55	67	56	76	38	100	1886	1966	0.18	0.03	0.44
