IngredientName,IngredientShortDescription,IngredientId,PortionUOMTypeId
"Cheese,Shredded, Mozzarella                        ","Cheese, Shredded Mozzare                    ",104,15
Sausage Pizza crumble                              ,"Sausage, Pizza crumbled                     ",105,15
Pepperoni for Pizza                                ,Pepperoni for Pizza                         ,106,15
"Soup, Frozen                                       ","Soup, Frozen                                ",107,15
"Crackers, soup crackers                            ",Soup Crackers                               ,108,11
"Bowl, Salad Bowl & Lid                             ",Salad bowl & Lid                            ,109,11
Fountain Beverage syrup                            ,Fountain Beverage syrup                     ,110,12
"DELETE Beverage, Juice Box                         ","Beverage, Juice Box                         ",111,12
"Cheese, sliced optional cheeses                    ","Cheese, Sliced optional                     ",112,15
"Bread, Wrap Tortilla                               ","Bread, Wrap Tortilla                        ",113,11
"Cups, Hot Cup & Lid 16 oz                          ","Cups, Hot Cup & Lid 16 o                    ",114,11
"Cups, Hot Cup 12 oz.                               ","Cups, Hot Cup 12 oz.                        ",115,11
Soup Bowl                                          ,Soup Bowl                                   ,116,11
Olive Vinaigrette Sauce                            ,Olive Vinaigrette Sauce                     ,117,15
"Cups, Cold 44 oz                                   ","Cups, Cold 44 oz                            ",118,11
Cucumber                                           ,Cucumber                                    ,119,15
Cucumber2                                          ,Cucumber2                                   ,120,15
Olive Oil Blend                                    ,Olive Oil Blend                             ,121,0
"Olive Oil Blend, Sauce                             ","Olive Oil Blend, Sauce                      ",122,15
Mustards                                           ,"Mustard, Sauce                              ",123,15
"Cilantro, fresh                                    ","Cilantro, fresh                             ",124,15
"Sausage, Italian Style                             ","Sausage, Italian Style                      ",125,15
Baja Sauce                                         ,Baja Sauce                                  ,126,15
"Yogurt, Bulk                                       ","Yogurt, Bulk                                ",127,15
"Green Chili, Roasted                               ","Green Chili, Roasted                        ",128,0
Balsamic Vinegar                                   ,Balsamic Vinegar                            ,129,0
"Iced Tea, Fresh Brewed                             ","Iced Tea, Fresh Brewed                      ",130,0
Salt                                               ,"Salt, shaker topping                        ",131,15
"Pepper, Black                                      ","Pepper, Black, Shaker to                    ",132,15
DELETE - Coffee                                    ,DELETE - Coffee                             ,133,0
"Cup, Courtesy                                      ","Cup, Courtesy                               ",134,11
Napkins                                            ,Napkins                                     ,135,11
"Cup & lid, Souffle Portion Control,2oz.            ","Cup & lid, Souffle Porti                    ",136,11
"Tray, Prep, Portion Control                        ","Tray, Prep, Portion Cont                    ",137,11
"Bag, Sub bag                                       ","Bag, Sub Bag                                ",138,11
"Bag, T-shirt Bag                                   ","Bag, T-shirt Bag                            ",139,11
"Bag, Specialty Bag                                 ","Bag, Specialty Bag                          ",140,11
"Bag, Catering Bag                                  ","Bag, Catering Bag                           ",141,0
"Board, 3 foot sub                                  ",Board 3 foot sub                            ,142,11
"Board, 6 foot sub                                  ","Board, 6 foot sub                           ",143,11
"Box, Giant Sub                                     ","Box, Giant Sub                              ",144,11
"Tray, Catering Sandwich Tray                       ","Tray, Catering Sandwich                     ",145,11
"Sub Wrap, Paper Wrap                               ","Sub Wrap, Paper Wrap                        ",146,11
Straw                                              ,Straw                                       ,147,11
Gloves                                             ,Gloves                                      ,148,11
"Lid, Hot Cup                                       ","Lid, Hot Cup                                ",149,11
"Lid, Soup bowl                                     ","Lid, Soup bowl                              ",150,11
"Box, Subway To Go! Meal                            ","Box, Subway To Go! Meal                     ",151,11
"Box, Pizza                                         ","Box, Pizza                                  ",152,11
"Cutlery, Knife & Fork Kit                          ","Cutlery, Knife & Fork Ki                    ",153,11
"Cutlery, Spoon                                     ","Cutlery, Spoon                              ",154,11
Mints                                              ,Mints                                       ,155,11
"Lid, Cold Cup 30 oz                                ","Lid, Cold Cup 30 oz.                        ",156,11
Deli Paper                                         ,Deli Paper                                  ,157,11
"Chicken Salad, Orchard Chicken Salad               ",Orchard Chicken Salad                       ,158,15
"Seasoning, Herb Chicken                            ","Seasoning, Herb Chicken                     ",159,11
