RecipeName,RecipeDescription,RecipeId
FtL/Ham           ,Ham FtLong                                ,1
FfB/Ham           ,Ham FtFbd                                 ,2
Six/Ham           ,Ham 6 inch                                ,3
fBd/Ham           ,Ham FlatBd                                ,4
Sld/Ham           ,Ham Salad                                 ,5
FtL/Ham           ,Ham FtLong                                ,6
Six/Ham           ,Ham 6 inch                                ,7
fBd/Ham           ,Ham FlatBd                                ,8
Sld/Ham           ,Ham Salad                                 ,9
FtL/Turkey        ,Turkey FtLong                             ,10
FfB/Turkey        ,Turkey FtFbd                              ,11
Six/Turkey        ,Turkey 6 inch                             ,12
fBd/Turkey        ,Turkey FlatBd                             ,13
Sld/Turkey        ,Turkey Salad                              ,14
FtL/RstBf         ,Roast Beef FtLong                         ,15
FfB/RstBf         ,Roast Beef FtFbd                          ,16
Six/RstBf         ,Roast Beef 6 inch                         ,17
fBd/RstBf         ,Roast Beef FlatBd                         ,18
Sld/RstBf         ,Roast Beef Salad                          ,19
FtL/Veggie        ,Veggie Delite FtLong                      ,20
FfB/Veggie        ,Veggie Delite FtFbd                       ,21
Six/Veggie        ,Veggie Delite 6 inch                      ,22
fBd/Veggie        ,Veggie Delite FlatBd                      ,23
Sld/Veggie        ,Veggie Delite Salad                       ,24
FtL/Steak         ,Steak & Chse FtLong                       ,25
FfB/Steak         ,Steak & Chse FtFbd                        ,26
Six/Steak         ,Steak & Chse 6 inch                       ,27
fBd/Steak         ,Steak & Chse FlatBd                       ,28
Sld/Steak         ,Steak & Chse Salad                        ,29
FtL/RstChx        ,Rst Chicken FtLong                        ,30
FfB/RstChx        ,Rst Chicken FtFbd                         ,31
Six/RstChx        ,Rst Chicken 6 inch                        ,32
fBd/RstChx        ,Rst Chicken FlatBd                        ,33
Sld/RstChx        ,Rst Chicken Salad                         ,34
FtL/TrkyHm        ,Turkey & Ham FtLong                       ,35
FfB/TrkyHm        ,Turkey & Ham FtFbd                        ,36
Six/TrkyHm        ,Turkey & Ham 6 inch                       ,37
fBd/TrkyHm        ,Turkey & Ham FlatBd                       ,38
Sld/TrkyHm        ,Turkey & Ham Salad                        ,39
FtL/Spicy         ,Spicy Italian FtLong                      ,40
FfB/Spicy         ,Spicy Italian FtFbd                       ,41
Six/Spicy         ,Spicy Italian 6 inch                      ,42
fBd/Spicy         ,Spicy Italian FlatBd                      ,43
Sld/Spicy         ,Spicy Italian Salad                       ,44
FtL/B.M.T.        ,B.M.T. FtLong                             ,45
FfB/B.M.T.        ,B.M.T. FtFbd                              ,46
Six/B.M.T.        ,B.M.T. 6 inch                             ,47
fBd/B.M.T.        ,B.M.T. FlatBd                             ,48
Sld/B.M.T.        ,B.M.T. Salad                              ,49
FtL/Club          ,Subway Club FtLong                        ,50
FfB/Club          ,Subway Club FtFbd                         ,51
Six/Club          ,Subway Club 6 inch                        ,52
fBd/Club          ,Subway Club FlatBd                        ,53
Sld/Club          ,Subway Club Salad                         ,54
FtL/Melt          ,Subway Melt FtLong                        ,55
FfB/Melt          ,Subway Melt FtFbd                         ,56
Six/Melt          ,Subway Melt 6 inch                        ,57
fBd/Melt          ,Subway Melt FlatBd                        ,58
Sld/Melt          ,Subway Melt Salad                         ,59
FtL/BLT           ,BLT FtLong                                ,60
FfB/BLT           ,BLT FtFbd                                 ,61
Six/BLT           ,BLT 6 inch                                ,62
fBd/BLT           ,BLT FlatBd                                ,63
Sld/BLT           ,BLT Salad                                 ,64
FtL/ChxTry        ,Chicken Teriyaki FtLong                   ,65
FfB/ChxTry        ,Chicken Teriyaki FtFbd                    ,66
Six/ChxTry        ,Chicken Teriyaki 6 inch                   ,67
fBd/ChxTry        ,Chicken Teriyaki FlatBd                   ,68
Sld/ChxTry        ,Chicken Teriyaki Salad                    ,69
FtL/Tuna          ,Tuna FtLong                               ,75
FfB/Tuna          ,Tuna FtFbd                                ,76
Six/Tuna          ,Tuna 6 inch                               ,77
fBd/Tuna          ,Tuna FlatBd                               ,78
Sld/Tuna          ,Tuna Salad                                ,79
Mni/Tuna          ,Tuna Mini                                 ,80
FtL/Meatbl        ,Meatball FtLong                           ,93
FfB/Meatbl        ,Meatball FtFbd                            ,94
Six/Meatbl        ,Meatball 6 inch                           ,95
fBd/Meatbl        ,Meatball FlatBd                           ,96
Sld/Meatbl        ,Meatball Salad                            ,97
Mni/Ham           ,Ham Mini                                  ,98
Mni/Turkey        ,Turkey Mini                               ,99
Mni/RstBf         ,Roast Beef Mini                           ,100
Mni/Veggie        ,Veggie Delite Mini                        ,101
FtL/ChBcRn        ,Chicken Bcn Ranch FtLong                  ,102
FfB/ChBcRn        ,Chicken Bcn Ranch FtFbd                   ,103
Six/ChBcRn        ,Chicken Bcn Ranch 6 inch                  ,104
fBd/ChBcRn        ,Chicken Bcn Ranch FlatBd                  ,105
Sld/ChBcRn        ,Chicken Bcn Ranch Salad                   ,106
FtL/CCTrio        ,Cold Cut Combo FtLong                     ,107
FfB/CCTrio        ,Cold Cut Combo FtFbd                      ,108
Six/CCTrio        ,Cold Cut Combo 6 inch                     ,109
fBd/CCTrio        ,Cold Cut Combo FlatBd                     ,110
Sld/CCTrio        ,Cold Cut Combo Salad                      ,111
FtL/Philly        ,Philly Chse Steak FtLong                  ,112
FfB/Philly        ,Philly Chse Steak FtFbd                   ,113
Six/Philly        ,Philly Chse Steak 6 inch                  ,114
fBd/Philly        ,Philly Chse Steak FlatBd                  ,115
Sld/Philly        ,Philly Chse Steak Salad                   ,116
FtL/BufChx        ,Buffalo Chix FtLong                       ,117
FfB/BufChx        ,Buffalo Chix FtFbd                        ,118
Six/BufChx        ,Buffalo Chix 6 inch                       ,119
fBd/BufChx        ,Buffalo Chix FlatBd                       ,120
Sld/BufChx        ,Buffalo Chix Salad                        ,121
FbK/SunOme        ,Sunrise Omlt Ftbk                         ,122
Bkf/SunOme        ,Sunrise Omlt FtbkFb                       ,123
6Bk/SunOme        ,Sunrise Omlt SixBkf                       ,124
6Bf/SunOme        ,Sunrise Omlt 6BkfFb                       ,125
Mlt/SunOme        ,Sunrise Omlt EngMf                        ,126
FbK/EggChs        ,Egg & Cheese Ftbk                         ,127
Bkf/EggChs        ,Egg & Cheese FtbkFb                       ,128
6Bk/EggChs        ,Egg & Cheese SixBkf                       ,129
6Bf/EggChs        ,Egg & Cheese 6BkfFb                       ,130
Mlt/EggChs        ,Egg & Cheese EngMf                        ,131
FbK/BkfBMT        ,Bkfst BMT Ftbk                            ,132
Bkf/BkfBMT        ,Bkfst BMT FtbkFb                          ,133
6Bk/BkfBMT        ,Bkfst BMT SixBkf                          ,134
6Bf/BkfBMT        ,Bkfst BMT 6BkfFb                          ,135
Mlt/BkfBMT        ,Bkfst BMT EngMf                           ,136
FbK/StkEgg        ,"Stk, Egg & Chs Ftbk                       ",137
Bkf/StkEgg        ,"Stk, Egg & Chs FtbkFb                     ",138
6Bk/StkEgg        ,"Stk, Egg & Chs SixBkf                     ",139
6Bf/StkEgg        ,"Stk, Egg & Chs 6BkfFb                     ",140
Mlt/StkEgg        ,"Stk, Egg & Chs EngMf                      ",145
FbK/BcnEgg        ,Bacon Egg & Cheese Ftbk                   ,146
Bkf/BcnEgg        ,Bacon Egg & Cheese FtbkFb                 ,147
6Bk/BcnEgg        ,Bacon Egg & Cheese SixBkf                 ,148
6Bf/BcnEgg        ,Bacon Egg & Cheese 6BkfFb                 ,149
Mlt/BcnEgg        ,Bacon Egg & Cheese EngMf                  ,150
FbK/SsgEgg        ,Sausage & Egg Ftbk                        ,151
Bkf/SsgEgg        ,Sausage & Egg FtbkFb                      ,152
6Bk/SsgEgg        ,Sausage & Egg SixBkf                      ,153
6Bf/SsgEgg        ,Sausage & Egg 6BkfFb                      ,154
Mlt/SsgEgg        ,Sausage & Egg EngMf                       ,155
FbK/Mega          ,Mega Omlet Ftbk                           ,156
Bkf/Mega          ,Mega Omlet FtbkFb                         ,157
6Bk/Mega          ,Mega Omlet SixBkf                         ,158
6Bf/Mega          ,Mega Omlet 6BkfFb                         ,159
Mlt/Mega          ,Mega Omlet EngMf                          ,160
FtL/BqRib         ,BBQ Rib FtLong                            ,161
FfB/BqRib         ,BBQ Rib FtFbd                             ,162
Six/BqRib         ,BBQ Rib 6 inch                            ,163
fBd/BqRib         ,BBQ Rib FlatBd                            ,164
Sld/BqRib         ,BBQ Rib Salad                             ,165
FtL/ChxCBl        ,Chix Cord Bleu FtLong                     ,166
FfB/ChxCBl        ,Chix Cord Bleu FtFbd                      ,167
Six/ChxCBl        ,Chix Cord Bleu 6 inch                     ,168
fBd/ChxCBl        ,Chix Cord Bleu FlatBd                     ,169
Sld/ChxCBl        ,Chix Cord Bleu Salad                      ,170
FtL/ChPar         ,Chicken Parm FtLong                       ,171
FfB/ChPar         ,Chicken Parm FtFbd                        ,172
Six/ChPar         ,Chicken Parm 6 inch                       ,173
fBd/ChPar         ,Chicken Parm FlatBd                       ,174
Sld/ChPar         ,Chicken Parm Salad                        ,175
BsM/EggChs        ,Egg & Cheese BscMlt                       ,176
3Bf/EggChs        ,Egg & Cheese 3BkfFb                       ,177
CrM/EggChs        ,Egg & Cheese CrsMlt                       ,178
CrM/BcnEgg        ,Bacon Egg & Cheese CrsMlt                 ,179
BsM/BcnEgg        ,Bacon Egg & Cheese BscMlt                 ,180
3Bf/BcnEgg        ,Bacon Egg & Cheese 3BkfFb                 ,181
CrM/BkfBMT        ,Bkfst BMT CrsMlt                          ,182
BsM/BkfBMT        ,Bkfst BMT BscMlt                          ,183
3Bf/BkfBMT        ,Bkfst BMT 3BkfFb                          ,184
CrM/StkEgg        ,"Stk, Egg & Chs CrsMlt                     ",185
BsM/StkEgg        ,"Stk, Egg & Chs BscMlt                     ",186
3Bf/StkEgg        ,"Stk, Egg & Chs 3BkfFb                     ",187
CrM/SunOme        ,Sunrise Omlt CrsMlt                       ,188
BsM/SunOme        ,Sunrise Omlt BscMlt                       ,189
3Bf/SunOme        ,Sunrise Omlt 3BkfFb                       ,190
CrM/SsgEgg        ,Sausage & Egg CrsMlt                      ,191
BsM/SsgEgg        ,Sausage & Egg BscMlt                      ,192
3Bf/SsgEgg        ,Sausage & Egg 3BkfFb                      ,193
CrM/Mega          ,Mega Omlet CrsMlt                         ,194
BsM/Mega          ,Mega Omlet BscMlt                         ,195
3Bf/Mega          ,Mega Omlet 3BkfFb                         ,196
Sld/ChxSpn        ,Grld Chickn & Spin Salad                  ,197
FtL/OrChSl        ,Orch Chix Sld FtLong                      ,198
FfB/OrChSl        ,Orch Chix Sld FtFbd                       ,199
Six/OrChSl        ,Orch Chix Sld 6 inch                      ,200
fBd/OrChSl        ,Orch Chix Sld FlatBd                      ,201
Sld/OrChSl        ,Orch Chix Sld Salad                       ,202
FtL/ChxMar        ,Chix Marinar FtLong                       ,203
FfB/ChxMar        ,Chix Marinar FtFbd                        ,204
Six/ChxMar        ,Chix Marinar 6 inch                       ,205
fBd/ChxMar        ,Chix Marinar FlatBd                       ,206
FtL/PizzaS        ,Pizza Sub FtLong                          ,207
FfB/PizzaS        ,Pizza Sub FtFbd                           ,208
Six/PizzaS        ,Pizza Sub 6 inch                          ,209
fBd/PizzaS        ,Pizza Sub FlatBd                          ,210
Sld/PizzaS        ,Pizza Sub Salad                           ,211
FtL/Seafd         ,Seafood Sensation FtLong                  ,212
FfB/Seafd         ,Seafood Sensation FtFbd                   ,213
Six/Seafd         ,Seafood Sensation 6 inch                  ,214
fBd/Seafd         ,Seafood Sensation FlatBd                  ,215
Sld/Seafd         ,Seafood Sensation Salad                   ,216
Mni/Seafd         ,Seafood Sensation Mini                    ,217
FtL/Pastr         ,Big Hot Pastrami FtLong                   ,218
FfB/Pastr         ,Big Hot Pastrami FtFbd                    ,219
Six/Pastr         ,Big Hot Pastrami 6 inch                   ,220
fBd/Pastr         ,Big Hot Pastrami FlatBd                   ,221
Sld/Pastr         ,Big Hot Pastrami Salad                    ,222
FtL/Pastra        ,Pastrami FtLong                           ,223
FfB/Pastra        ,Pastrami FtFbd                            ,224
Six/Pastra        ,Pastrami 6 inch                           ,225
fBd/Pastra        ,Pastrami FlatBd                           ,226
Sld/Pastra        ,Pastrami Salad                            ,227
FtL/ChxPzl        ,Chicken Pizziola FtLong                   ,228
FfB/ChxPzl        ,Chicken Pizziola FtFbd                    ,229
Six/ChxPzl        ,Chicken Pizziola 6 inch                   ,230
fBd/ChxPzl        ,Chicken Pizziola FlatBd                   ,231
Sld/ChxPzl        ,Chicken Pizziola Salad                    ,232
FtL/TkBcAv        ,TkyBcnAvo FtLong                          ,233
FfB/TkBcAv        ,TkyBcnAvo FtFbd                           ,234
Six/TkBcAv        ,TkyBcnAvo 6 inch                          ,235
fBd/TkBcAv        ,TkyBcnAvo FlatBd                          ,236
Sld/TkBcAv        ,TkyBcnAvo Salad                           ,237
FtL/TkBcGu        ,TkyBcnGuac FtLong                         ,238
FfB/TkBcGu        ,TkyBcnGuac FtFbd                          ,239
Six/TkBcGu        ,TkyBcnGuac 6 inch                         ,240
fBd/TkBcGu        ,TkyBcnGuac FlatBd                         ,241
Sld/TkBcGu        ,TkyBcnGuac Salad                          ,242
FtL/StBcnM        ,Steak & Bacon Melt FtLong                 ,243
FfB/StBcnM        ,Steak & Bacon Melt FtFbd                  ,244
Six/StBcnM        ,Steak & Bacon Melt 6 inch                 ,245
fBd/StBcnM        ,Steak & Bacon Melt FlatBd                 ,246
Sld/StBcnM        ,Steak & Bacon Melt Salad                  ,247
FtL/ChpStk        ,Chptl Steak FtLong                        ,248
FfB/ChpStk        ,Chptl Steak FtFbd                         ,249
Six/ChpStk        ,Chptl Steak 6 inch                        ,250
fBd/ChpStk        ,Chptl Steak FlatBd                        ,251
FtL/VegPty        ,Veggie Patty FtLong                       ,252
FfB/VegPty        ,Veggie Patty FtFbd                        ,253
Six/VegPty        ,Veggie Patty 6 inch                       ,254
fBd/VegPty        ,Veggie Patty FlatBd                       ,255
Sld/VegPty        ,Veggie Patty Salad                        ,256
FtL/ChxFng        ,Chicken Finger FtLong                     ,257
FfB/ChxFng        ,Chicken Finger FtFbd                      ,258
Six/ChxFng        ,Chicken Finger 6 inch                     ,259
fBd/ChxFng        ,Chicken Finger FlatBd                     ,260
Sld/ChxFng        ,Chicken Finger Salad                      ,261
FtL/MtbPep        ,Meatbl Pep FtLong                         ,262
FfB/MtbPep        ,Meatbl Pep FtFbd                          ,263
Six/MtbPep        ,Meatbl Pep 6 inch                         ,264
fBd/MtbPep        ,Meatbl Pep FlatBd                         ,265
Sld/MtbPep        ,Meatbl Pep Salad                          ,266
FtL/ChxSld        ,ChicknSld FtLong                          ,267
FfB/ChxSld        ,ChicknSld FtFbd                           ,268
Six/ChxSld        ,ChicknSld 6 inch                          ,269
fBd/ChxSld        ,ChicknSld FlatBd                          ,270
Sld/ChxSld        ,ChicknSld Salad                           ,271
Soup10Soup        ,10oz Soup Soup                            ,272
FtL/ChMarP        ,Chicken Marinara Patty FtLong             ,273
FfB/ChMarP        ,Chicken Marinara Patty FtFbd              ,274
Six/ChMarP        ,Chicken Marinara Patty 6 inch             ,275
fBd/ChMarP        ,Chicken Marinara Patty FlatBd             ,276
Sld/ChMarP        ,Chicken Marinara Patty Salad              ,277
Piz/ChPiza        ,Cheese Pizza Pizza                        ,278
Piz/Pproni        ,Pepperoni Pizza                           ,279
Piz/SgPiza        ,Sausage Pizza Pizza                       ,280
Piz/VgPiza        ,Veggie Pizza Pizza                        ,281
FtL/BajaCh        ,BajaChix FtLong                           ,282
FfB/BajaCh        ,BajaChix FtFbd                            ,283
Six/BajaCh        ,BajaChix 6 inch                           ,284
fBd/BajaCh        ,BajaChix FlatBd                           ,285
Sld/BajaCh        ,BajaChix Salad                            ,286
FtL/BajaSt        ,BajaStk FtLong                            ,287
FfB/BajaSt        ,BajaStk FtFbd                             ,288
Six/BajaSt        ,BajaStk 6 inch                            ,289
fBd/BajaSt        ,BajaStk FlatBd                            ,290
Sld/BajaSt        ,BajaStk Salad                             ,291
Piz/MbPiza        ,Meatball Pizza Pizza                      ,292
Piz/BcPiza        ,Bacon Pizza Pizza                         ,293
Sid/HshBrn        ,Hash Browns Side                          ,294
FtL/MedChx        ,MedChickn FtLong                          ,295
FfB/MedChx        ,MedChickn FtFbd                           ,296
Six/MedChx        ,MedChickn 6 inch                          ,297
fBd/MedChx        ,MedChickn FlatBd                          ,298
Sld/MedChx        ,MedChickn Salad                           ,299
Coo/Cookie        ,Cookie Cookie                             ,300
Sid/Apples        ,Apples Side                               ,301
Chp/Chips         ,Chips Chips                               ,302
Btl/BtCDrk        ,Bottled Carbonated Drink BtlDrk           ,303
Btl/BtJuce        ,Bottled Juice BtlDrk                      ,304
21oz21CDrk        ,21oz Carbonated Fountain 21Fnt            ,305
30oz30CDrk        ,30oz Carbonated Fountain 30Fnt            ,306
BxL/Ham           ,Ham BoxLn                                 ,307
BxL/B.M.T.        ,B.M.T. BoxLn                              ,308
BxL/Club          ,Subway Club BoxLn                         ,309
BxL/Tuna          ,Tuna BoxLn                                ,310
BxL/RstBf         ,Roast Beef BoxLn                          ,311
BxL/Turkey        ,Turkey BoxLn                              ,312
BxL/TrkyHm        ,Turkey & Ham BoxLn                        ,313
BxL/CCTrio        ,Cold Cut Combo BoxLn                      ,314
FtL/Angus         ,AngusStk FtLong                           ,315
FfB/Angus         ,AngusStk FtFbd                            ,316
Six/Angus         ,AngusStk 6 inch                           ,317
fBd/Angus         ,AngusStk FlatBd                           ,318
Sld/Angus         ,AngusStk Salad                            ,319
BxL/OrChSl        ,Orch Chix Sld BoxLn                       ,320
BxL/ChxSld        ,ChicknSld BoxLn                           ,321
BxL/Seafd         ,Seafood Sensation BoxLn                   ,322
FtL/ChpChx        ,Chptl Chicken FtLong                      ,323
FfB/ChpChx        ,Chptl Chicken FtFbd                       ,324
Six/ChpChx        ,Chptl Chicken 6 inch                      ,325
fBd/ChpChx        ,Chptl Chicken FlatBd                      ,326
Sld/ChpChx        ,Chptl Chicken Salad                       ,327
21oz21NDrk        ,21oz Non-Carbonated Ftn 21Fnt             ,328
FtL/Tuscan        ,Tuscan Chickn FtLong                      ,329
FfB/Tuscan        ,Tuscan Chickn FtFbd                       ,330
Six/Tuscan        ,Tuscan Chickn 6 inch                      ,331
fBd/Tuscan        ,Tuscan Chickn FlatBd                      ,332
Sld/Tuscan        ,Tuscan Chickn Salad                       ,333
FbK/StkEgAv       ,StkEgChAvo Ftbk                           ,334
Bkf/StkEgAv       ,StkEgChAvo FtbkFb                         ,335
6Bk/StkEgAv       ,StkEgChAvo SixBkf                         ,336
6Bf/StkEgAv       ,StkEgChAvo 6BkfFb                         ,337
Mlt/StkEgAv       ,StkEgChAvo EngMf                          ,338
CrM/StkEgAv       ,StkEgChAvo CrsMlt                         ,339
BsM/StkEgAv       ,StkEgChAvo BscMlt                         ,340
3Bf/StkEgAv       ,StkEgChAvo 3BkfFb                         ,341
30oz30NDrk        ,30oz Non-Carbonated Ftn 30Fnt             ,342
40oz40NDrk        ,40oz Non-Carbonated Ftn 40Fnt             ,343
40oz40CDrk        ,40oz Carbonated Fountain 40Fnt            ,344
FtL/TkBFAv        ,Tky Bcn F Avo FtLong                      ,345
FfB/TkBFAv        ,Tky Bcn F Avo FtFbd                       ,346
Six/TkBFAv        ,Tky Bcn F Avo 6 inch                      ,347
fBd/TkBFAv        ,Tky Bcn F Avo FlatBd                      ,348
Sld/TkBFAv        ,Tky Bcn F Avo Salad                       ,349
BxL/TkBFAv        ,Tky Bcn F Avo BoxLn                       ,350
FbK/StEgAvF       ,StEgChAvoF Ftbk                           ,351
Bkf/StEgAvF       ,StEgChAvoF FtbkFb                         ,352
6Bk/StEgAvF       ,StEgChAvoF SixBkf                         ,353
6Bf/StEgAvF       ,StEgChAvoF 6BkfFb                         ,354
CrM/StEgAvF       ,StEgChAvoF CrsMlt                         ,355
BsM/StEgAvF       ,StEgChAvoF BscMlt                         ,356
3Bf/StEgAvF       ,StEgChAvoF 3BkfFb                         ,357
FtL/ChxStr        ,Chickn Strips FtLong                      ,358
FfB/ChxStr        ,Chickn Strips FtFbd                       ,359
Six/ChxStr        ,Chickn Strips 6 inch                      ,360
fBd/ChxStr        ,Chickn Strips FlatBd                      ,361
Sld/ChxStr        ,Chickn Strips Salad                       ,362
BxL/ChxStr        ,Chickn Strips BoxLn                       ,363
FtL/Feast         ,The Feast FtLong                          ,364
BxL/Angus         ,AngusStk BoxLn                            ,365
BxL/RstChx        ,Rst Chicken BoxLn                         ,366
Sid/BscGry        ,Biscuit & Gravy Side                      ,367
FtL/Salami        ,Salami FtLong                             ,368
FfB/Salami        ,Salami FtFbd                              ,369
Six/Salami        ,Salami 6 inch                             ,370
fBd/Salami        ,Salami FlatBd                             ,371
Sld/Salami        ,Salami Salad                              ,372
Mni/Salami        ,Salami Mini                               ,373
BxL/Salami        ,Salami BoxLn                              ,374
FtL/Pproni        ,Pepperoni FtLong                          ,375
FfB/Pproni        ,Pepperoni FtFbd                           ,376
Six/Pproni        ,Pepperoni 6 inch                          ,377
fBd/Pproni        ,Pepperoni FlatBd                          ,378
Sld/Pproni        ,Pepperoni Salad                           ,379
Mni/Pproni        ,Pepperoni Mini                            ,380
BxL/Pproni        ,Pepperoni BoxLn                           ,381
#NOM?,Add Bacon AddFt                           ,382
#NOM?,Add Bacon Add6in                          ,383
Btl/Milk          ,Milk BtlDrk                               ,384
Btl/BtWatr        ,Bottled Water BtlDrk                      ,385
FtL/BBfCkn        ,Big Buffalo Chicken FtLong                ,386
FfB/BBfCkn        ,Big Buffalo Chicken FtFbd                 ,387
Six/BBfCkn        ,Big Buffalo Chicken 6 inch                ,388
fBd/BBfCkn        ,Big Buffalo Chicken FlatBd                ,389
Sld/BBfCkn        ,Big Buffalo Chicken Salad                 ,390
FtL/CkBLTR        ,Chicken B.L.T. Ranch FtLong               ,391
FfB/CkBLTR        ,Chicken B.L.T. Ranch FtFbd                ,392
Six/CkBLTR        ,Chicken B.L.T. Ranch 6 inch               ,393
fBd/CkBLTR        ,Chicken B.L.T. Ranch FlatBd               ,394
Sld/CkBLTR        ,Chicken B.L.T. Ranch Salad                ,395
FtL/Cheese        ,Cheese FtLong                             ,396
FfB/Cheese        ,Cheese FtFbd                              ,397
Six/Cheese        ,Cheese 6 inch                             ,398
fBd/Cheese        ,Cheese FlatBd                             ,399
Sld/Cheese        ,Cheese Salad                              ,400
BxL/Cheese        ,Cheese BoxLn                              ,401
FtL/ChBBBQ        ,Chickn Bcn BBQ FtLong                     ,402
FfB/ChBBBQ        ,Chickn Bcn BBQ FtFbd                      ,403
Six/ChBBBQ        ,Chickn Bcn BBQ 6 inch                     ,404
fBd/ChBBBQ        ,Chickn Bcn BBQ FlatBd                     ,405
Sld/ChBBBQ        ,Chickn Bcn BBQ Salad                      ,406
FtL/CknBLT        ,Chicken B.L.T.  FtLong                    ,407
FfB/CknBLT        ,Chicken B.L.T.  FtFbd                     ,408
Six/CknBLT        ,Chicken B.L.T.  6 inch                    ,409
fBd/CknBLT        ,Chicken B.L.T.  FlatBd                    ,410
Sld/CknBLT        ,Chicken B.L.T.  Salad                     ,411
FtL/CkCsSr        ,Chicken Caesar Strips FtLong              ,412
FfB/CkCsSr        ,Chicken Caesar Strips FtFbd               ,413
Six/CkCsSr        ,Chicken Caesar Strips 6 inch              ,414
fBd/CkCsSr        ,Chicken Caesar Strips FlatBd              ,415
Sld/CkCsSr        ,Chicken Caesar Strips Salad               ,416
FtL/CkCsPt        ,Chicken Caesar Patty FtLong               ,417
FfB/CkCsPt        ,Chicken Caesar Patty FtFbd                ,418
Six/CkCsPt        ,Chicken Caesar Patty 6 inch               ,419
fBd/CkCsPt        ,Chicken Caesar Patty FlatBd               ,420
Sld/CkCsPt        ,Chicken Caesar Patty Salad                ,421
FtL/ChCBPt        ,Chicken Cordon Bleu Pty FtLong            ,422
FfB/ChCBPt        ,Chicken Cordon Bleu Pty FtFbd             ,423
Six/ChCBPt        ,Chicken Cordon Bleu Pty 6 inch            ,424
fBd/ChCBPt        ,Chicken Cordon Bleu Pty FlatBd            ,425
Sld/ChCBPt        ,Chicken Cordon Bleu Pty Salad             ,426
FtL/CkPizP        ,Chicken Pizziola Patty FtLong             ,427
FfB/CkPizP        ,Chicken Pizziola Patty FtFbd              ,428
Six/CkPizP        ,Chicken Pizziola Patty 6 inch             ,429
fBd/CkPizP        ,Chicken Pizziola Patty FlatBd             ,430
Sld/CkPizP        ,Chicken Pizziola Patty Salad              ,431
FtL/PulPB8        ,Pulled Pork BBQ 8oz FtLong                ,432
FfB/PulPB8        ,Pulled Pork BBQ 8oz FtFbd                 ,433
Six/PulPB8        ,Pulled Pork BBQ 8oz 6 inch                ,434
fBd/PulPB8        ,Pulled Pork BBQ 8oz FlatBd                ,435
Sld/PulPB8        ,Pulled Pork BBQ 8oz Salad                 ,436
FtL/Bolona        ,Bologna FtLong                            ,437
FfB/Bolona        ,Bologna FtFbd                             ,438
Six/Bolona        ,Bologna 6 inch                            ,439
fBd/Bolona        ,Bologna FlatBd                            ,440
Sld/Bolona        ,Bologna Salad                             ,441
BxL/Bolona        ,Bologna BoxLn                             ,442
FtL/BBQMtb        ,BBQ Meatballs FtLong                      ,443
FfB/BBQMtb        ,BBQ Meatballs FtFbd                       ,444
Six/BBQMtb        ,BBQ Meatballs 6 inch                      ,445
fBd/BBQMtb        ,BBQ Meatballs FlatBd                      ,446
Sld/BBQMtb        ,BBQ Meatballs Salad                       ,447
FtL/BQCStr        ,BBQ Chicken Strips FtLong                 ,448
FfB/BQCStr        ,BBQ Chicken Strips FtFbd                  ,449
Six/BQCStr        ,BBQ Chicken Strips 6 inch                 ,450
fBd/BQCStr        ,BBQ Chicken Strips FlatBd                 ,451
Sld/BQCStr        ,BBQ Chicken Strips Salad                  ,452
FtL/TkyBLT        ,Turkey B.L.T. FtLong                      ,453
FfB/TkyBLT        ,Turkey B.L.T. FtFbd                       ,454
Six/TkyBLT        ,Turkey B.L.T. 6 inch                      ,455
fBd/TkyBLT        ,Turkey B.L.T. FlatBd                      ,456
Sld/TkyBLT        ,Turkey B.L.T. Salad                       ,457
adF/Avocad        ,Avocado AddFt                             ,458
adF/Pproni        ,Pepperoni AddFt                           ,459
Soup12Soup        ,12oz Soup Soup                            ,460
PstrCinRol        ,Cinnamon Roll Pastry                      ,461
PstrBrowni        ,Brownie Pastry                            ,462
PstrAppPie        ,Apple Pie Pastry                          ,463
Coo/Cooki2        ,2 Cookies Cookie                          ,464
Coo/Cooki3        ,3 Cookies Cookie                          ,465
Coo/Cooki6        ,6 Cookies Cookie                          ,466
PstrMuffin        ,Muffin Pastry                             ,467
FtL/BigChs        ,Big Cheesy FtLong                         ,468
FfB/BigChs        ,Big Cheesy FtFbd                          ,469
Six/BigChs        ,Big Cheesy 6 inch                         ,470
fBd/BigChs        ,Big Cheesy FlatBd                         ,471
Sld/BigChs        ,Big Cheesy Salad                          ,472
BxL/BigChs        ,Big Cheesy BoxLn                          ,473
OmltEggChL        ,Egg & Cheese (Liquid) Omelet              ,474
FbK/EggChL        ,Egg & Cheese (Liquid) Ftbk                ,475
Bkf/EggChL        ,Egg & Cheese (Liquid) FtbkFb              ,476
6Bk/EggChL        ,Egg & Cheese (Liquid) SixBkf              ,477
6Bf/EggChL        ,Egg & Cheese (Liquid) 6BkfFb              ,478
Mlt/EggChL        ,Egg & Cheese (Liquid) EngMf               ,479
BgM/EggChL        ,Egg & Cheese (Liquid) BglMlt              ,480
CrM/EggChL        ,Egg & Cheese (Liquid) CrsMlt              ,481
BsM/EggChL        ,Egg & Cheese (Liquid) BscMlt              ,482
3Bf/EggChL        ,Egg & Cheese (Liquid) 3BkfFb              ,483
FbK/BcEggL        ,Bacon Egg & Cheese (Liq) Ftbk             ,484
