RecipeName,RecipeDescription,RecipeId
#NOM?,Garden GrillCheese & Ham Portn            ,6662
dm6/GGCHam        ,Garden GrillCheese & Ham Extr6            ,6664
ad6/GGCHam        ,Garden GrillCheese & Ham Add6in           ,6666
adF/GGCHam        ,Garden GrillCheese & Ham AddFt            ,6668
dmF/GGCHam        ,Garden GrillCheese & Ham ExtrFT           ,6670
Btl/700Wtr        ,700ml Water BtlWtr                        ,6672
Btl/IceCof        ,Iced Coffee BtlDrk                        ,6674
Wrp/EggS          ,Egg Salad Wrap                            ,6676
#NOM?,Cheese Portn                              ,6678
adM/Cheese        ,Cheese AddMlt                             ,6680
BxL/B.M.T.        ,B.M.T. BoxLn                              ,6682
fBd/B.M.T.        ,B.M.T. FlatBd                             ,6684
FBx/B.M.T.        ,B.M.T. FBxLun                             ,6686
FfB/B.M.T.        ,B.M.T. FtFbd                              ,6688
FtL/B.M.T.        ,B.M.T. FtLong                             ,6690
Six/B.M.T.        ,B.M.T. 6 inch                             ,6692
Sld/B.M.T.        ,B.M.T. Salad                              ,6694
BxL/Club          ,Subway Club BoxLn                         ,6696
fBd/Club          ,Subway Club FlatBd                        ,6698
FBx/Club          ,Subway Club FBxLun                        ,6700
FfB/Club          ,Subway Club FtFbd                         ,6702
FtL/Club          ,Subway Club FtLong                        ,6704
Six/Club          ,Subway Club 6 inch                        ,6706
Sld/Club          ,Subway Club Salad                         ,6708
fBd/Steak         ,Steak & Chse FlatBd                       ,6710
FfB/Steak         ,Steak & Chse FtFbd                        ,6712
FtL/Steak         ,Steak & Chse FtLong                       ,6714
Six/Steak         ,Steak & Chse 6 inch                       ,6716
Sld/Steak         ,Steak & Chse Salad                        ,6718
fBd/ChxTry        ,Chicken Teriyaki FlatBd                   ,6720
FfB/ChxTry        ,Chicken Teriyaki FtFbd                    ,6722
FtL/ChxTry        ,Chicken Teriyaki FtLong                   ,6724
Six/ChxTry        ,Chicken Teriyaki 6 inch                   ,6726
Sld/ChxTry        ,Chicken Teriyaki Salad                    ,6728
fBd/Melt          ,Subway Melt FlatBd                        ,6730
FfB/Melt          ,Subway Melt FtFbd                         ,6732
FtL/Melt          ,Subway Melt FtLong                        ,6734
Six/Melt          ,Subway Melt 6 inch                        ,6736
Sld/Melt          ,Subway Melt Salad                         ,6738
BxL/Tuna          ,Tuna BoxLn                                ,6740
fBd/Tuna          ,Tuna FlatBd                               ,6742
FBx/Tuna          ,Tuna FBxLun                               ,6744
FfB/Tuna          ,Tuna FtFbd                                ,6746
FtL/Tuna          ,Tuna FtLong                               ,6748
Six/Tuna          ,Tuna 6 inch                               ,6750
Sld/Tuna          ,Tuna Salad                                ,6752
BxL/RstChx        ,Rst Chicken BoxLn                         ,6754
FfB/RstChx        ,Rst Chicken FtFbd                         ,6756
FtL/RstChx        ,Rst Chicken FtLong                        ,6758
Six/RstChx        ,Rst Chicken 6 inch                        ,6760
Sld/RstChx        ,Rst Chicken Salad                         ,6762
BxL/Ham           ,Ham BoxLn                                 ,6764
fBd/Ham           ,Ham FlatBd                                ,6766
FBx/Ham           ,Ham FBxLun                                ,6768
FfB/Ham           ,Ham FtFbd                                 ,6770
FtL/Ham           ,Ham FtLong                                ,6772
Six/Ham           ,Ham 6 inch                                ,6774
Sld/Ham           ,Ham Salad                                 ,6776
BxL/RstBf         ,Roast Beef BoxLn                          ,6778
fBd/RstBf         ,Roast Beef FlatBd                         ,6780
FBx/RstBf         ,Roast Beef FBxLun                         ,6782
FfB/RstBf         ,Roast Beef FtFbd                          ,6784
FtL/RstBf         ,Roast Beef FtLong                         ,6786
Six/RstBf         ,Roast Beef 6 inch                         ,6788
Sld/RstBf         ,Roast Beef Salad                          ,6790
BxL/Turkey        ,Turkey BoxLn                              ,6792
fBd/Turkey        ,Turkey FlatBd                             ,6794
FBx/Turkey        ,Turkey FBxLun                             ,6796
FfB/Turkey        ,Turkey FtFbd                              ,6798
FtL/Turkey        ,Turkey FtLong                             ,6800
Six/Turkey        ,Turkey 6 inch                             ,6802
Sld/Turkey        ,Turkey Salad                              ,6804
BxL/Veggie        ,Veggie Delite BoxLn                       ,6820
fBd/Veggie        ,Veggie Delite FlatBd                      ,6822
FBx/Veggie        ,Veggie Delite FBxLun                      ,6824
FfB/Veggie        ,Veggie Delite FtFbd                       ,6826
FtL/Veggie        ,Veggie Delite FtLong                      ,6828
Six/Veggie        ,Veggie Delite 6 inch                      ,6830
Sld/Veggie        ,Veggie Delite Salad                       ,6832
fBd/Meatbl        ,Meatball FlatBd                           ,6834
FfB/Meatbl        ,Meatball FtFbd                            ,6836
FtL/Meatbl        ,Meatball FtLong                           ,6838
Six/Meatbl        ,Meatball 6 inch                           ,6840
Sld/Meatbl        ,Meatball Salad                            ,6842
BxL/Spicy         ,Spicy Italian BoxLn                       ,6844
fBd/Spicy         ,Spicy Italian FlatBd                      ,6846
FBx/Spicy         ,Spicy Italian FBxLun                      ,6848
FfB/Spicy         ,Spicy Italian FtFbd                       ,6850
FtL/Spicy         ,Spicy Italian FtLong                      ,6852
Six/Spicy         ,Spicy Italian 6 inch                      ,6854
Sld/Spicy         ,Spicy Italian Salad                       ,6856
fBd/FishFl        ,Fish Fillet FlatBd                        ,6858
FfB/FishFl        ,Fish Fillet FtFbd                         ,6860
FtL/FishFl        ,Fish Fillet FtLong                        ,6862
Six/FishFl        ,Fish Fillet 6 inch                        ,6864
Sld/FishFl        ,Fish Fillet Salad                         ,6866
6Bf/EggBdt        ,Eggs Benedict 6BkfFb                      ,6868
6Bk/EggBdt        ,Eggs Benedict SixBkf                      ,6870
Bkf/EggBdt        ,Eggs Benedict FtbkFb                      ,6872
FbK/EggBdt        ,Eggs Benedict Ftbk                        ,6874
WpB/EggBdt        ,Eggs Benedict WrapBk                      ,6876
dbF/EggBdt        ,Eggs Benedict ExtrFTBfst                  ,6878
db6/EggBdt        ,Eggs Benedict Extr6Bfst                   ,6880
fBd/StkTry        ,Steak Teriyaki FlatBd                     ,6882
FfB/StkTry        ,Steak Teriyaki FtFbd                      ,6884
FtL/StkTry        ,Steak Teriyaki FtLong                     ,6886
Six/StkTry        ,Steak Teriyaki 6 inch                     ,6888
Sld/StkTry        ,Steak Teriyaki Salad                      ,6890
dm6/StkTry        ,Steak Teriyaki Extr6                      ,6894
#NOM?,Steak Teriyaki Portn                      ,6896
ad6/StkTry        ,Steak Teriyaki Add6in                     ,6898
dmF/StkTry        ,Steak Teriyaki ExtrFT                     ,6900
adF/StkTry        ,Steak Teriyaki AddFt                      ,6902
Wrp/StkTry        ,Steak Teriyaki Wrap                       ,6904
FtL/ChBcRn        ,Chicken Bcn Ranch FtLong                  ,6906
Six/ChBcRn        ,Chicken Bcn Ranch 6 inch                  ,6908
Sld/ChBcRn        ,Chicken Bcn Ranch Salad                   ,6910
FtL/ChBcRn        ,Chicken Bcn Ranch FtLong                  ,6912
Six/ChBcRn        ,Chicken Bcn Ranch 6 inch                  ,6914
Sld/ChBcRn        ,Chicken Bcn Ranch Salad                   ,6916
Wrp/ChBcRn        ,Chicken Bcn Ranch Wrap                    ,6918
dmF/ChBcRn        ,Chicken Bcn Ranch ExtrFT                  ,6920
adF/ChBcRn        ,Chicken Bcn Ranch AddFt                   ,6922
dm6/ChBcRn        ,Chicken Bcn Ranch Extr6                   ,6924
ad6/ChBcRn        ,Chicken Bcn Ranch Add6in                  ,6926
#NOM?,Chicken Bcn Ranch Portn                   ,6928
#NOM?,DW Roast Beef Portn                       ,6930
#NOM?,DW Ham Portn                              ,6932
#NOM?,DW Chicken Breast Portn                   ,6934
#NOM?,DW Club Portn                             ,6936
#NOM?,DW Turkey Portn                           ,6938
#NOM?,DW Turkey & Ham Portn                     ,6940
H8/CofSS8         ,CoffeeSingleServe8oz 8Hot                 ,6942
H8/HotChoc8       ,HotChoc8 8Hot                             ,6944
H8/8HTea          ,8oz Hot Tea 8Hot                          ,6946
FtL/BLT           ,BLT FtLong                                ,6948
Six/BLT           ,BLT 6 inch                                ,6950
Sld/BLT           ,BLT Salad                                 ,6952
Wrp/Bacon         ,Bacon Wrap                                ,6954
6Bk/EggChs        ,Egg & Cheese SixBkf                       ,6956
FbK/EggChs        ,Egg & Cheese Ftbk                         ,6958
6Bk/HamEgg        ,Ham & Egg SixBkf                          ,6960
FbK/HamEgg        ,Ham & Egg Ftbk                            ,6962
6Bk/BcnEgg        ,Bacon Egg & Cheese SixBkf                 ,6964
FbK/BcnEgg        ,Bacon Egg & Cheese Ftbk                   ,6966
6Bk/StkEgg        ,"Stk, Egg & Chs SixBkf                     ",6968
FbK/StkEgg        ,"Stk, Egg & Chs Ftbk                       ",6970
PlS/StdBse        ,Standard Base SndPlt                      ,6972
16oz16CDrk        ,16oz Fountain Drink 16Fnt                 ,6974
21oz21CDrk        ,21oz Carbonated Fountain 21Fnt            ,6976
21oz21Rfil        ,21oz Refill 21Fnt                         ,6978
30oz30CDrk        ,30oz Fountain Drink 30Fnt                 ,6980
30oz30Rfil        ,30oz Refill 30Fnt                         ,6982
16oz16Rfil        ,16oz Refill 16Fnt                         ,6984
Soup8Soup         ,8oz Soup Soup                             ,6986
3Bf/EggChL        ,Egg & Cheese (Liquid) 3BkfFb              ,6988
6Bf/EggChL        ,Egg & Cheese (Liquid) 6BkfFb              ,6990
6Bk/EggChL        ,Egg & Cheese (Liquid) SixBkf              ,6992
Bkf/EggChL        ,Egg & Cheese (Liquid) FtbkFb              ,6994
FbK/EggChL        ,Egg & Cheese (Liquid) Ftbk                ,6996
3Bf/BcEggL        ,Bacon Egg & Cheese (Liq) 3BkfFb           ,6998
6Bf/BcEggL        ,Bacon Egg & Cheese (Liq) 6BkfFb           ,7000
6Bk/BcEggL        ,Bacon Egg & Cheese (Liq) SixBkf           ,7002
Bkf/BcEggL        ,Bacon Egg & Cheese (Liq) FtbkFb           ,7004
FbK/BcEggL        ,Bacon Egg & Cheese (Liq) Ftbk             ,7006
3Bf/HmEggL        ,Ham & Egg (Liquid) 3BkfFb                 ,7008
6Bf/HmEggL        ,Ham & Egg (Liquid) 6BkfFb                 ,7010
6Bk/HmEggL        ,Ham & Egg (Liquid) SixBkf                 ,7012
Bkf/HmEggL        ,Ham & Egg (Liquid) FtbkFb                 ,7014
FbK/HmEggL        ,Ham & Egg (Liquid) Ftbk                   ,7016
3Bf/SkBECL        ,Stk BacEgg & Ch (Liq) 3BkfFb              ,7018
6Bf/SkBECL        ,Stk BacEgg & Ch (Liq) 6BkfFb              ,7020
6Bk/SkBECL        ,Stk BacEgg & Ch (Liq) SixBkf              ,7022
Bkf/SkBECL        ,Stk BacEgg & Ch (Liq) FtbkFb              ,7024
FbK/SkBECL        ,Stk BacEgg & Ch (Liq) Ftbk                ,7026
H12/12Coff        ,12oz Coffee 12Hot                         ,7028
H12/12Tea         ,12oz Tea 12Hot                            ,7030
GS3/StdBse        ,Standard Base 3FTGnt                      ,7032
GS18StdBse        ,"Standard Base 18""GntSub                   ",7034
GS6/StdBse        ,Standard Base 6FTGntSub                   ,7036
dm6/Pastr         ,Big Hot Pastrami Extr6                    ,7037
ad6/Pastr         ,Big Hot Pastrami Add6in                   ,7039
#NOM?,Big Hot Pastrami Portn                    ,7041
dmF/Pastr         ,Big Hot Pastrami ExtrFT                   ,7043
adF/Pastr         ,Big Hot Pastrami AddFt                    ,7045
ad6/Spicy         ,Spicy Italian Add6in                      ,7047
#NOM?,Spicy Italian Portn                       ,7049
BxL/TrkyHm        ,Turkey & Ham BoxLn                        ,7051
BxL/Ham           ,Ham BoxLn                                 ,7053
FtL/Ham           ,Ham FtLong                                ,7055
Six/Ham           ,Ham 6 inch                                ,7057
Sld/Ham           ,Ham Salad                                 ,7059
dmF/Ham           ,Ham ExtrFT                                ,7061
adF/Ham           ,Ham AddFt                                 ,7063
dm6/Ham           ,Ham Extr6                                 ,7065
ad6/Ham           ,Ham Add6in                                ,7067
#NOM?,Ham Portn                                 ,7069
BxL/B.M.T.        ,B.M.T. BoxLn                              ,7071
FtL/B.M.T.        ,B.M.T. FtLong                             ,7073
Six/B.M.T.        ,B.M.T. 6 inch                             ,7075
Sld/B.M.T.        ,B.M.T. Salad                              ,7077
dmF/B.M.T.        ,B.M.T. ExtrFT                             ,7079
adF/B.M.T.        ,B.M.T. AddFt                              ,7081
ad6/B.M.T.        ,B.M.T. Add6in                             ,7083
dm6/B.M.T.        ,B.M.T. Extr6                              ,7085
BxL/Tuna          ,Tuna BoxLn                                ,7087
FtL/Tuna          ,Tuna FtLong                               ,7089
