STORE_ADDRESS1,DISTRIBUTION_REGION,STORE_STATE,STORE_CITY,STORE_ZIP,STORE_TYPE,STORE_LOYALTY_FLAG,STORE_NUMBER
Ninth Street                                ,Western     ,California  ,Berkeley                  ,94710,Traditional           ,N,46673
Shattuck Sq                                   ,Western     ,California  ,Berkeley                  ,94704,Traditional           ,Y,4904
Myrtle Avenue                              ,Northeast   ,New York    ,Ridgewood                 ,11385,Traditional           ,Y,12631
Whitney Avenue,Northeast   ,New York    ,Elmhurst,11373,Traditional           ,Y,20974
